"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/04/2025","14.452,63","13.942,75","14.856,50","13.820,75","","-1,52%"
"04/04/2025","14.676,25","15.668,00","15.714,75","14.633,88","","-6,65%"
"03/04/2025","15.721,50","15.855,00","15.898,00","15.681,00","","-1,36%"
"02/04/2025","15.937,75","16.149,63","16.153,00","15.936,38","","-0,76%"
"01/04/2025","16.059,25","15.926,63","16.183,63","15.918,63","","1,09%"
"31/03/2025","15.885,50","16.280,13","16.381,63","15.880,38","","-3,11%"
"28/03/2025","16.395,00","16.235,50","16.453,13","16.228,13","","1,11%"
"27/03/2025","16.214,38","16.158,13","16.299,63","16.087,13","","-0,10%"
"26/03/2025","16.230,75","16.158,63","16.287,88","16.002,38","","0,00%"
"25/03/2025","16.230,00","15.935,13","16.254,13","15.935,13","","1,44%"
"24/03/2025","16.000,38","16.062,50","16.212,75","15.979,75","","-0,67%"
"21/03/2025","16.108,00","16.196,13","16.293,00","16.025,63","","-1,02%"
"20/03/2025","16.273,75","16.384,00","16.406,00","16.039,50","","-0,59%"
"19/03/2025","16.371,00","16.194,88","16.588,13","16.194,88","","0,83%"
"18/03/2025","16.236,75","16.395,00","16.442,50","16.136,75","","-0,85%"
"17/03/2025","16.375,38","16.564,25","16.658,63","16.292,63","","-0,88%"
"14/03/2025","16.520,13","16.402,75","16.752,63","16.402,75","","0,49%"
"13/03/2025","16.438,88","16.658,25","16.675,75","16.340,63","","-1,17%"
"12/03/2025","16.632,75","16.459,25","16.735,38","16.418,75","","0,90%"
"11/03/2025","16.484,13","16.417,25","16.565,00","16.324,25","","0,34%"
"10/03/2025","16.428,50","16.407,25","16.679,25","16.378,00","","0,17%"
"07/03/2025","16.401,38","16.222,75","16.553,38","16.155,00","","0,96%"
"06/03/2025","16.244,88","15.878,50","16.306,13","15.873,75","","2,50%"
"05/03/2025","15.848,38","15.908,38","16.133,13","15.785,38","","-0,61%"
"04/03/2025","15.945,63","15.870,75","16.031,63","15.719,13","","0,20%"
"03/03/2025","15.914,13","15.539,25","16.015,13","15.520,75","","2,92%"
"28/02/2025","15.461,88","15.797,50","15.832,00","15.407,13","","-2,10%"
"27/02/2025","15.792,75","15.523,38","15.902,38","15.521,25","","1,46%"
"26/02/2025","15.565,63","15.306,75","15.645,88","15.306,75","","1,49%"
"25/02/2025","15.336,63","15.321,50","15.410,75","15.265,38","","-0,50%"
"24/02/2025","15.413,38","15.460,00","15.658,50","15.404,75","","-0,52%"
"21/02/2025","15.493,63","15.621,50","15.641,00","15.396,38","","-0,83%"
"20/02/2025","15.622,63","15.416,00","15.697,88","15.396,25","","1,31%"
"19/02/2025","15.420,13","15.309,50","15.426,13","15.255,88","","0,42%"
"18/02/2025","15.355,63","15.452,50","15.497,25","15.282,13","","-0,90%"
"17/02/2025","15.495,13","15.424,25","15.509,13","15.362,13","","0,05%"
"14/02/2025","15.487,63","15.460,50","15.573,63","15.424,88","","0,67%"
"13/02/2025","15.383,88","15.354,88","15.469,25","15.219,38","","-0,28%"
"12/02/2025","15.427,38","15.429,88","15.486,00","15.321,25","","0,96%"
"11/02/2025","15.280,00","15.388,00","15.396,00","15.230,00","","-1,16%"
"11/02/2025","15.459,88","15.272,38","15.532,13","15.249,38","","-0,45%"
"10/02/2025","15.530,00","15.768,00","15.785,00","15.442,00","","-1,33%"
"07/02/2025","15.740,00","15.765,00","15.802,00","15.653,00","","-0,49%"
"06/02/2025","15.818,00","15.737,00","15.818,00","15.652,00","","1,70%"
"05/02/2025","15.554,00","15.282,00","15.576,00","15.215,00","","1,71%"
"04/02/2025","15.293,00","15.067,00","15.311,00","15.015,00","","1,43%"
"03/02/2025","15.077,00","15.100,00","15.206,00","15.002,00","","-0,73%"
"31/01/2025","15.188,00","15.365,00","15.365,00","15.140,00","","-1,18%"
"30/01/2025","15.369,00","15.360,00","15.437,00","15.340,00","","-0,29%"
"29/01/2025","15.413,00","15.362,00","15.523,00","15.337,00","","-1,04%"
"28/01/2025","15.575,00","15.549,00","15.612,00","15.337,00","","0,15%"
"27/01/2025","15.552,00","15.620,00","15.800,00","15.493,00","","-0,02%"
"24/01/2025","15.555,00","15.702,00","15.715,00","15.540,00","","-0,44%"
"23/01/2025","15.623,00","15.552,00","15.688,00","15.532,00","","-0,72%"
"22/01/2025","15.737,00","15.870,00","15.875,00","15.653,00","","-1,88%"
"21/01/2025","16.038,00","15.996,00","16.102,00","15.965,00","","0,17%"
"20/01/2025","16.010,00","15.900,00","16.100,00","15.790,00","","-0,17%"
"17/01/2025","16.038,00","15.897,00","16.080,00","15.872,00","","0,80%"
"16/01/2025","15.910,00","15.785,00","15.947,00","15.762,00","","0,75%"
"15/01/2025","15.792,00","15.845,00","15.892,00","15.765,00","","-0,74%"
"14/01/2025","15.910,00","15.773,00","15.932,00","15.745,00","","0,35%"
"13/01/2025","15.855,00","15.655,00","15.888,00","15.653,00","","1,52%"
"10/01/2025","15.618,00","15.476,00","15.637,00","15.440,00","","0,99%"
"09/01/2025","15.465,00","15.342,00","15.475,00","15.310,00","","0,32%"
"08/01/2025","15.415,00","15.402,00","15.443,00","15.280,00","","0,23%"
"07/01/2025","15.380,00","15.155,00","15.387,50","15.152,00","","1,19%"
"06/01/2025","15.199,00","14.937,00","15.331,00","14.934,00","","0,41%"
"03/01/2025","15.137,00","15.020,00","15.137,00","14.873,00","","0,72%"
"02/01/2025","15.029,00","15.317,00","15.343,00","15.028,00","","-1,72%"
"31/12/2024","15.292,00","15.387,00","15.415,00","15.273,00","","-1,02%"
"30/12/2024","15.450,00","15.498,00","15.652,00","15.362,00","","1,00%"
"27/12/2024","15.297,00","15.329,00","15.368,00","15.183,00","","-1,02%"
"24/12/2024","15.455,00","15.450,00","15.540,00","15.410,00","","0,41%"
"23/12/2024","15.392,00","15.403,00","15.496,00","15.243,00","","0,59%"
"20/12/2024","15.302,00","15.145,00","15.337,00","15.130,00","","1,65%"
"19/12/2024","15.053,00","15.272,00","15.465,00","15.045,00","","-3,13%"
"18/12/2024","15.540,00","15.455,00","15.548,00","15.438,00","","0,37%"
"17/12/2024","15.483,00","15.557,00","15.583,00","15.467,00","","-1,02%"
"16/12/2024","15.643,00","15.765,00","15.830,00","15.643,00","","-1,20%"
"13/12/2024","15.833,00","16.160,00","16.235,00","15.759,50","","-1,95%"
"12/12/2024","16.148,00","16.145,00","16.197,00","16.088,00","","2,20%"
"11/12/2024","15.800,00","15.730,00","15.842,00","15.687,00","","0,32%"
"10/12/2024","15.750,00","15.825,00","15.840,00","15.650,00","","-1,38%"
"09/12/2024","15.970,00","16.050,00","16.067,00","15.883,00","","-0,01%"
"06/12/2024","15.971,00","15.993,00","16.095,00","15.971,00","","0,30%"
"05/12/2024","15.924,00","16.012,00","16.012,00","15.820,00","","-0,69%"
