Date,BCOMHG,BCOMNI,BCOMCL
2022-01-04,4.475,21050.4,76.74
2022-01-05,4.4135,20630.6,77.47
2022-01-06,4.3545,20365.8,78.88
2022-01-07,4.41,20713.6,78.44
2022-01-10,4.352,20755.6,77.7
2022-01-11,4.429,21797.0,80.67
2022-01-12,4.5765,21947.9,82.02
2022-01-13,4.546,22152.8,81.62
2022-01-14,4.4205,22148.8,83.3
2022-01-17,4.4335,22087.8,83.69
2022-01-18,4.3825,22034.9,84.83
2022-01-19,4.47,23147.3,85.8
2022-01-20,4.5825,23844.9,85.55
2022-01-21,4.524,24109.7,84.14
2022-01-24,4.4125,22488.6,82.41
2022-01-25,4.45,22348.7,84.37
2022-01-26,4.515,22769.5,85.96
2022-01-27,4.4235,22437.6,85.29
2022-01-28,4.3125,22206.8,85.43
2022-01-31,4.3265,22297.7,86.49
2022-02-01,4.4315,22771.5,86.46
2022-02-02,4.4935,22786.5,86.69
2022-02-03,4.472,22817.4,88.45
2022-02-04,4.49,22962.4,90.33
2022-02-07,4.4675,23386.1,89.77
2022-02-08,4.4645,22678.5,87.9
2022-02-09,4.602,23277.2,88.53
2022-02-10,4.658,23368.1,88.56
2022-02-11,4.5085,22995.3,91.42
2022-02-14,4.507,23147.3,93.5
2022-02-15,4.5345,23261.2,90.21
2022-02-16,4.5395,23405.6,91.83
2022-02-17,4.5265,23910.8,90.04
2022-02-18,4.524,24167.7,90.21
2022-02-21,4.4805,24321.1,92.65
2022-02-22,4.5145,24522.0,91.91
2022-02-23,4.4855,24455.0,90.69
2022-02-24,4.458,23930.8,90.94
2022-02-25,4.485,24212.7,89.89
2022-02-28,4.4545,24092.7,93.5
2022-03-01,4.5965,25218.1,100.21
2022-03-02,4.6655,26032.0,107.06
2022-03-03,4.7815,27263.0,104.61
2022-03-04,4.9375,29297.9,112.11
2022-03-07,4.731,49779.3,115.8
2022-03-08,4.71,61714.4,119.65
2022-03-11,4.6255,61714.4,106.3
2022-03-22,4.7,28290.9,109.27
2022-04-22,4.5925,33161.7,101.05
2022-04-25,4.462,32594.0,97.67
2022-04-26,4.4535,33119.8,100.41
2022-04-27,4.467,33502.5,100.68
2022-04-28,4.4335,32967.8,103.47
2022-04-29,4.4085,31864.4,102.94
2022-05-23,4.3455,27441.8,107.54
2022-05-24,4.305,26415.4,107.2
2022-05-25,4.2545,26635.3,107.75
2022-05-26,4.259,26992.1,111.25
2022-05-27,4.3065,28255.4,112.23
2022-05-30,4.334,29249.8,117.61
2022-05-31,4.299,28129.5,111.91
2022-06-01,4.3295,28032.5,112.72
2022-06-03,4.4765,28032.5,116.23
2022-06-06,4.439,29696.6,116.06
2022-06-07,4.4395,29403.3,117.1
2022-06-08,4.4545,28692.1,119.78
2022-06-09,4.386,27808.6,119.09
2022-06-10,4.3025,27169.5,118.12
2022-06-13,4.2195,25870.7,118.25
2022-06-14,4.1665,25238.6,116.26
2022-06-15,4.1735,25789.8,113.09
2022-06-16,4.118,25347.0,115.25
2022-06-17,4.022,25670.9,107.99
2022-06-20,4.011,25790.8,108.84
2022-06-21,4.0445,25927.7,109.52
2022-06-22,3.947,24527.5,103.99
2022-06-23,3.7425,23981.8,101.58
2022-06-24,3.744,22252.7,104.45
2022-06-27,3.764,23018.3,106.38
2022-06-28,3.7785,23245.2,108.89
2022-06-29,3.7805,23638.0,107.01
2022-06-30,3.71,22705.5,103.1
2022-07-01,3.604,21851.0,105.39
2022-07-04,3.584,22527.6,110.4
2022-07-05,3.415,22685.5,96.52
2022-07-06,3.408,21950.9,94.98
2022-07-07,3.572,21495.2,99.25
2022-07-08,3.522,21653.1,101.53
2022-07-11,3.4305,21829.0,101.21
2022-07-12,3.288,21325.2,93.31
2022-07-13,3.3225,21138.4,93.83
2022-07-14,3.2115,19178.4,92.83
2022-07-15,3.234,19376.3,94.57
2022-07-18,3.346,20634.6,99.42
2022-07-19,3.291,20685.6,100.74
2022-07-20,3.325,21168.3,99.88
2022-07-21,3.2985,21415.2,93.78
2022-07-22,3.3495,22210.8,92.43
2022-07-25,3.3545,22087.8,94.42
2022-07-26,3.3845,21612.1,92.88
2022-07-27,3.43,21684.1,95.29
2022-07-28,3.481,21803.0,94.65
2022-07-29,3.575,23848.9,96.75
2022-08-01,3.547,23975.3,92.39
2022-08-02,3.5225,22432.6,93.22
2022-08-03,3.472,22450.6,89.74
2022-08-04,3.488,22187.3,87.56
2022-08-05,3.559,22232.7,88.08
2022-08-08,3.593,21583.1,89.93
2022-08-09,3.5925,21475.2,89.67
2022-08-10,3.6555,22370.7,91.2
2022-08-11,3.7115,23656.0,93.53
2022-08-12,3.6735,23044.3,91.46
2022-08-15,3.6215,21993.9,88.85
2022-08-16,3.6265,22513.6,86.16
2022-08-17,3.587,21916.9,87.69
2022-08-18,3.6335,21700.0,90.11
2022-08-19,3.6685,21996.9,90.44
2022-08-22,3.653,22359.7,90.36
2022-08-23,3.696,21811.0,93.25
2022-08-24,3.648,21368.2,94.4
2022-08-25,3.6985,21846.0,92.19
2022-08-26,3.697,21628.1,92.39
2022-08-29,3.6085,21628.1,96.19
2022-08-30,3.5495,21395.2,91.17
2022-08-31,3.519,21341.2,89.03
2022-09-01,3.4085,20398.8,86.22
2022-09-02,3.417,20605.6,86.48
2022-09-05,3.4535,21542.1,88.96
2022-09-06,3.4645,21503.2,86.51
2022-09-07,3.434,21573.1,81.63
2022-09-08,3.5305,21815.5,83.07
2022-09-09,3.573,22964.3,86.36
2022-09-12,3.6155,24391.6,87.41
2022-09-13,3.566,24073.7,86.89
